0,1,2,3,4,5,6,7,8,9,10,11,12
4.0,1.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
2.0,3.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
4.0,3.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
1.0,2.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
2.0,6.0,0.00175812,0.00583237,0.0711656,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
4.0,7.0,0.00150374,0.00498849,0.0608688,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
8.0,5.0,2.3e-05,6.5e-05,0.00037,999.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
9.0,5.0,4.6e-05,0.00013,0.00074,999.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
5.0,11.0,0.01064,0.01083,0.0,30.5794,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
5.0,12.0,0.01055,0.01062,0.0,30.5794,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
5.0,14.0,0.0029,0.00355,0.0,23.7776,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
5.0,15.0,0.0027,0.00323,0.0,23.7776,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
5.0,17.0,0.02021,0.02699,0.0,22.2915,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
5.0,18.0,0.01235,0.01672,0.0,24.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
21.0,5.0,0.00965,0.01448,0.0,30.5794,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
5.0,20.0,0.00958,0.01423,0.0,30.5794,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
5.0,22.0,0.01591,0.01711,0.0,22.2915,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
23.0,5.0,0.0167,0.0173,0.0,22.2915,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
5.0,25.0,0.02397,0.02525,0.0,18.2905,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
29.0,27.0,1e-05,1e-05,0.0,999.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
31.0,27.0,1e-05,1e-05,0.0,999.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
27.0,32.0,0.01237,0.01552,0.0,40.582,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
34.0,27.0,0.0139,0.01632,0.0,40.582,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
27.0,36.0,0.00691,0.00973,0.0,36.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
27.0,35.0,0.00726,0.01014,0.0,36.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
48.0,46.0,1e-05,1e-05,0.0,999.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
50.0,46.0,1e-05,1e-05,0.0,999.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
