0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
173,1.3,0.43,7.5,-7.5,1,100,1,7.5,0,0,0,0,0,0,0,0,0,0,0,0
167,4,0.01,7.5,-7.5,1,100,1,7.5,0,0,0,0,0,0,0,0,0,0,0,0
161,0.05,0.01,0.1,-0.1,1,100,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0.01,0.45,-0.45,1,100,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
3652,0,44.2413,50,-50,1,100,1,50,0,0,0,0,0,0,0,0,0,0,0,0
24,2.5,0.1,7.5,-7.5,1,100,1,7.5,0,0,0,0,0,0,0,0,0,0,0,0
2058,0,0,1.76,-1.76,1,100,1,1.76,0,0,0,0,0,0,0,0,0,0,0,0
2407,0,0,2.36,-2.36,1,100,1,2.36,0,0,0,0,0,0,0,0,0,0,0,0
153,5,0,7.5,-7.5,1,100,1,7.5,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0.1,3,-3,1,100,1,3,0,0,0,0,0,0,0,0,0,0,0,0
171,0.85,0.27,2.3,-2.3,1,100,1,2.3,0,0,0,0,0,0,0,0,0,0,0,0
155,0.115,0.037,3,-3,1,100,1,3,0,0,0,0,0,0,0,0,0,0,0,0
169,2.7,0.01,3,-3,1,100,1,3,0,0,0,0,0,0,0,0,0,0,0,0
3248,0.5,0.16434,2.5,-2.5,1,100,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0
147,1.5,0.6574,2,-2,1,100,1,4,0,0,0,0,0,0,0,0,0,0,0,0
55,45.4345,100,150,-150,0.998,100,1,2000,0,0,0,0,0,0,0,0,0,0,0,0
56,0,40,150,-150,0.998,100,1,400,0,0,0,0,0,0,0,0,0,0,0,0
1024,1.102,0.3622,0.5,-0.5,1,100,1,3.45,0,0,0,0,0,0,0,0,0,0,0,0
67,41.24,13.55,50,-50,1,100,1,50,0,0,0,0,0,0,0,0,0,0,0,0
2759,20,1,2,-2,1,100,1,40,0,0,0,0,0,0,0,0,0,0,0,0
149,6.9,-2.94,7.5,-7.5,1,102,1,30,0,0,0,0,0,0,0,0,0,0,0,0
124,49.9,16.4,75,-75,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
105,3.7,0,4,-4,1,100,1,4,0,0,0,0,0,0,0,0,0,0,0,0
90,7,1.4,7,-7,1,100,1,7,0,0,0,0,0,0,0,0,0,0,0,0
90,1,0,0,0,1,100,1,15,0,0,0,0,0,0,0,0,0,0,0,0
