Time,University 11kV,Corporation Street 11kV,Educational Precinct 11kV,Pilgrim 11kV,Gateshead Central 11kV,Close 11kV,Benwell 11kV,Team Valley 20kV,Birtley Grove 20kV,Dunston 11kV,Dunston 20kV,Westerhope 11kV,Blucher 11kV,Harraton Red 11kV,Blaydon Burn 11kV,West Wylam 20kV,Hexham 20kV,Riding Mill Pumps 11kV,Tanfield 11kV,Annfield T4 20kV,Annfield T3 20kV,Bensham 11kV,Kimberley Clarke North 11kV,Kimberley Clarke South 11kV,Dunston 11kV (via 20/11kV),Consett 20kV,Newcastle Airport 11kV,Newburn Haugh 11kV,Harraton Green 11kV,Birtley Grove 11kV,Great Park T1 33kV,Great Park T2 33kV,Kenton 11kV
00:00,9.978310478,5.349432362,7.433873863,7.498181906,6.332537359,11.86714041,8.774666357,12.03046998,4.373819607,6.753368231,7.532272104,5.551406448,6.622307615,8.66643996,7.334115351,8.942662868,11.49586076,5.76,6.036962548,9.958385137,9.958385137,8.649440129,7.433873863,5.76,6.753368231,8.92885939,5.983453665,3.224849088,8.66643996,6.734707972,15.9,15.9,7.58724717
00:30,10.99723869,6.238902413,8.302314486,7.75562779,7.019811181,11.37968438,9.199296796,12.05879036,4.29078873,6.697579613,7.567004457,5.954910665,6.484934995,8.690747713,7.179807978,9.275011236,12.26615753,5.35,5.91210287,9.804221246,9.804221246,9.265453445,8.302314486,5.35,6.697579613,8.853907643,6.329325705,3.215338143,8.690747713,6.564235417,15.9,15.9,7.67431571
01:00,10.7592159,6.035468734,8.047534368,7.650802572,6.815218616,11.12120175,8.850955371,11.86166681,4.142575749,6.489000058,7.258234512,5.682414069,6.195668772,8.392168784,6.922827212,8.944499128,11.89711607,5.08,5.677463219,9.434318725,9.434318725,8.873631726,8.047534368,5.08,6.489000058,8.526566248,6.066463857,3.092105604,8.392168784,6.277141753,15.9,15.9,7.343551533
01:30,10.67471925,5.956567955,7.925005627,7.623967959,6.720937011,11.4022445,8.633579853,11.76566424,4.039565434,6.354906182,7.048009719,5.517169055,5.984684389,8.193636549,6.740375091,8.727402978,11.67682773,4.94,5.509681336,9.171568138,9.171568138,8.635527638,7.925005627,4.94,6.354906182,8.297670094,5.906210934,3.010891389,8.193636549,6.071793496,16.27,16.27,7.119005621
02:00,10.52224843,5.85225081,7.78484393,7.521780299,6.603652555,11.08151218,8.430096159,11.5752764,3.938716276,6.206331781,6.857518851,5.369042247,5.804129914,8.00126049,6.566451166,8.532524107,11.46087912,4.94,5.35787348,8.930512543,8.930512543,8.419316889,7.78484393,4.94,6.206331781,8.084704436,5.757164194,2.930819645,8.00126049,5.88966213,16.65,16.65,6.920846763
02:30,10.5222457,5.844935484,7.757561166,7.53405001,6.585636223,10.89436244,8.350011185,11.55408342,3.89623826,6.154852797,6.770914924,5.307807928,5.709714777,7.92755739,6.48832532,8.451676827,11.39089248,4.94,5.285550996,8.818963602,8.818963602,8.331331992,7.757561166,4.94,6.154852797,7.988082903,5.698745079,2.8973819,7.92755739,5.800320173,16.27,16.27,6.827879597
03:00,10.34026132,5.716555989,7.614018535,7.436634435,6.465399184,10.82194789,8.229065763,11.43567554,3.860157536,6.092381855,6.694053482,5.220772141,5.659512024,7.832655583,6.430575459,8.333576478,11.21152078,4.8,5.237298223,8.73468823,8.73468823,8.198483947,7.614018535,4.8,6.092381855,7.908675556,5.611258215,2.868573088,7.832655583,5.748877601,16.27,16.27,6.747543425
03:30,10.16088661,5.564510237,7.437838827,7.388898279,6.328217079,10.82333393,8.062688958,11.37732422,3.8182629,6.03187113,6.583099243,5.087451143,5.569788385,7.728836461,6.356201041,8.175636875,10.989796,4.8,5.167887481,8.619306915,8.619306915,7.998779082,7.437838827,4.8,6.03187113,7.799650224,5.487084559,2.829561583,7.728836461,5.668709163,16.09,16.09,6.623050797
04:00,10.03479065,5.460733373,7.327398255,7.34799988,6.239485508,10.75866813,7.977007211,11.33980618,3.803771211,6.00753909,6.53744187,5.01776225,5.543757954,7.679634231,6.332711807,8.095390601,10.86195898,4.8,5.145656327,8.579752872,8.579752872,7.893885263,7.327398255,4.8,6.00753909,7.759285353,5.422379088,2.81454557,7.679634231,5.645273442,15.53,15.53,6.571095171
04:30,10.15444014,5.517537359,7.414621867,7.469646938,6.319523689,10.74705016,8.12439833,11.56011305,3.895295571,6.14672617,6.689128049,5.11250864,5.688056764,7.848311374,6.487090444,8.241295457,11.01721701,4.66,5.274940814,8.785934342,8.785934342,8.033930185,7.414621867,4.66,6.14672617,7.939369888,5.525930725,2.882300809,7.848311374,5.797496215,15.34,15.34,6.722026182
